V240001,version,V243001,V243002,V243050,V243051,V243052,V243053,V243054,V243060,V243061,V243062,V243063,V245001,V245010
140074,ANES2024TimeSeries_20250808,FL,NA,20240903,212057,20240903,223202,.,20241113,221047,20250203,180050,-1. Inapplicable,-1. Inapplicable
140076,ANES2024TimeSeries_20250808,PA,NA,20240822,162518,20240822,185815,.,20250215,113230,20250215,132623,-1. Inapplicable,-1. Inapplicable
140077,ANES2024TimeSeries_20250808,FL,NA,20240812,162655,20240812,172847,.,20241114,081005,20241114,081027,-1. Inapplicable,-1. Inapplicable
140078,ANES2024TimeSeries_20250808,TX,NA,20240906,184458,20240906,205131,.,20241224,145639,20241224,161926,-1. Inapplicable,-1. Inapplicable
140079,ANES2024TimeSeries_20250808,OK,NA,20240810,152907,20240813,152633,.,20241130,135702,20241130,155334,-1. Inapplicable,-1. Inapplicable
140080,ANES2024TimeSeries_20250808,AZ,NA,20240813,104541,20240813,125425,.,20241118,165526,20241118,165600,-1. Inapplicable,-1. Inapplicable
140081,ANES2024TimeSeries_20250808,DE,NA,20240819,082726,20240819,091339,.,20241202,185142,20241202,200301,-1. Inapplicable,-1. Inapplicable
140082,ANES2024TimeSeries_20250808,DC,NA,20240808,203711,20240808,211846,.,20241115,124320,20241115,124327,-1. Inapplicable,-1. Inapplicable
140083,ANES2024TimeSeries_20250808,IN,NA,20240808,203018,20240808,221529,.,20241114,123311,20241114,123318,-1. Inapplicable,-1. Inapplicable
140084,ANES2024TimeSeries_20250808,NV,NA,20240808,190906,20240808,224343,.,20241118,125704,20241118,125723,-1. Inapplicable,-1. Inapplicable
140085,ANES2024TimeSeries_20250808,FL,NA,20240823,205126,20240823,211536,.,20241204,135233,20241204,142200,-1. Inapplicable,-1. Inapplicable
140086,ANES2024TimeSeries_20250808,WV,NA,20240817,132022,20240817,134637,.,20241114,082219,20241114,082224,-1. Inapplicable,-1. Inapplicable
140087,ANES2024TimeSeries_20250808,MA,NA,20240809,084434,20240809,093136,.,20241114,142234,20241114,142247,-1. Inapplicable,-1. Inapplicable
140088,ANES2024TimeSeries_20250808,OH,NA,20241027,192721,20241027,200032,.,20250121,110524,20250121,113021,-1. Inapplicable,-1. Inapplicable
140089,ANES2024TimeSeries_20250808,VA,NA,20241031,080505,20241031,085644,.,20250211,074511,20250211,085837,-1. Inapplicable,-1. Inapplicable
140090,ANES2024TimeSeries_20250808,AZ,NA,20240828,111659,20240929,141526,.,20241114,104634,20241114,104641,-1. Inapplicable,-1. Inapplicable
140092,ANES2024TimeSeries_20250808,OH,NA,20240815,120247,20240821,125637,.,20241129,145803,20241129,162820,-1. Inapplicable,-1. Inapplicable
140093,ANES2024TimeSeries_20250808,MI,NA,20240808,191321,20240808,202819,.,20241114,113249,20241114,113307,-1. Inapplicable,-1. Inapplicable
140094,ANES2024TimeSeries_20250808,TX,NA,20240814,193228,20240814,210841,.,20241126,160932,20241126,173914,-1. Inapplicable,-1. Inapplicable
140095,ANES2024TimeSeries_20250808,MA,NA,20240813,125726,20240813,142634,.,20241122,141206,20241122,152623,-1. Inapplicable,-1. Inapplicable
140096,ANES2024TimeSeries_20250808,GA,NA,20240812,185907,20240813,130140,.,20241121,172804,20241125,104834,-1. Inapplicable,-1. Inapplicable
140097,ANES2024TimeSeries_20250808,SC,NA,20240808,192342,20240808,203940,.,20241114,022200,20241114,022209,-1. Inapplicable,-1. Inapplicable
140098,ANES2024TimeSeries_20250808,WA,NA,20240813,125848,20240813,142221,.,20241120,175420,20241120,192544,-1. Inapplicable,-1. Inapplicable
140101,ANES2024TimeSeries_20250808,CA,NA,20240816,220522,20240816,225343,.,20241130,223609,20241201,000346,-1. Inapplicable,-1. Inapplicable
140102,ANES2024TimeSeries_20250808,ID,NA,20240814,172004,20240814,180810,.,20241203,112426,20241203,120323,-1. Inapplicable,-1. Inapplicable
140103,ANES2024TimeSeries_20250808,IN,NA,20240814,090201,20240922,210842,.,20241120,152854,20241120,152914,-1. Inapplicable,-1. Inapplicable
140105,ANES2024TimeSeries_20250808,MD,NA,20240903,165505,20240903,190153,.,20241116,081751,20241116,083608,-1. Inapplicable,-1. Inapplicable
140107,ANES2024TimeSeries_20250808,KS,NA,20240903,173959,20240903,185234,.,.,NA,.,NA,-1. Inapplicable,-1. Inapplicable
140108,ANES2024TimeSeries_20250808,PA,NA,20240817,125713,20240817,141548,.,20241202,090639,20241202,093925,-1. Inapplicable,-1. Inapplicable
140110,ANES2024TimeSeries_20250808,CA,NA,20240827,014437,20240827,051048,.,20241124,140147,20241124,160940,-1. Inapplicable,-1. Inapplicable
140112,ANES2024TimeSeries_20250808,OH,NA,20240812,145248,20240812,163510,.,20241118,191631,20241118,191642,-1. Inapplicable,-1. Inapplicable
140113,ANES2024TimeSeries_20250808,IL,NA,20240815,191602,20240815,215028,.,20241113,224145,20241113,224203,-1. Inapplicable,-1. Inapplicable
140114,ANES2024TimeSeries_20250808,MA,NA,20240815,114057,20240815,144414,.,20241130,154242,20241130,170947,-1. Inapplicable,-1. Inapplicable
140115,ANES2024TimeSeries_20250808,NC,NA,20241031,152548,20241031,170713,.,20241121,133515,20241121,151241,-1. Inapplicable,-1. Inapplicable
